game;date;ball1;ball2;ball3;ball4;ball5;ball6
1750;13.01.2018;25;30;7;34;3;19
1749;10.01.2018;19;6;12;36;49;52
1748;06.01.2018;9;30;13;23;24;42
1747;03.01.2018;7;37;23;32;22;8
1746;30.12.2017;6;37;20;5;34;18
1745;27.12.2017;1;27;3;6;44;5
1744;23.12.2017;27;29;9;36;4;47
1743;20.12.2017;42;27;48;22;4;32
1742;16.12.2017;3;43;10;16;12;18
1741;13.12.2017;39;34;26;32;21;44
1740;09.12.2017;33;28;15;44;9;50
1739;06.12.2017;38;25;48;46;42;50
1738;02.12.2017;44;37;5;16;31;10
1737;29.11.2017;18;24;29;34;8;13
1736;25.11.2017;41;49;7;44;34;8
1735;22.11.2017;21;35;9;19;1;5
1734;18.11.2017;42;44;2;12;28;40
1733;15.11.2017;30;18;28;25;4;15
1732;11.11.2017;22;21;36;25;46;8
1731;08.11.2017;50;42;7;22;28;45
1730;04.11.2017;9;21;48;19;45;3
1729;01.11.2017;18;51;46;48;15;39
1728;28.10.2017;24;5;37;17;44;27
1727;25.10.2017;25;11;14;33;24;17
1726;21.10.2017;49;37;41;11;17;22
1725;18.10.2017;43;20;13;29;5;11
1724;14.10.2017;8;48;7;32;42;28
1723;11.10.2017;37;15;32;29;9;38
1722;07.10.2017;30;34;35;21;37;52
1721;04.10.2017;40;51;9;21;2;14
1720;30.09.2017;30;33;10;23;25;51
1719;27.09.2017;2;19;13;22;4;36
1718;23.09.2017;50;13;15;29;23;48
1717;20.09.2017;51;14;4;47;12;9
1716;16.09.2017;13;44;16;42;39;17
1715;13.09.2017;18;2;14;46;1;37
1714;09.09.2017;41;10;29;40;11;1
1713;06.09.2017;11;33;3;37;44;26
1712;02.09.2017;39;50;33;49;48;30
1711;30.08.2017;38;21;26;27;11;19
1710;26.08.2017;6;34;10;22;41;23
1709;23.08.2017;1;32;23;11;31;24
1708;19.08.2017;18;50;6;22;19;31
1707;16.08.2017;33;3;42;9;37;51
1706;12.08.2017;19;49;22;40;36;17
1705;09.08.2017;22;39;15;50;19;18
1704;05.08.2017;4;30;45;11;50;38
1703;02.08.2017;19;8;38;35;43;33
1702;29.07.2017;34;50;19;9;33;41
1701;26.07.2017;19;15;16;32;25;6
1700;22.07.2017;30;37;45;35;3;13
1699;19.07.2017;42;22;12;25;21;45
1698;15.07.2017;11;49;3;12;42;52
1697;12.07.2017;43;25;7;29;13;42
1696;08.07.2017;15;49;23;45;22;17
1695;05.07.2017;35;1;48;8;16;42
1694;01.07.2017;23;30;9;49;27;12
1693;28.06.2017;18;43;17;27;7;52
1692;24.06.2017;3;36;23;19;20;18
1691;21.06.2017;25;12;23;16;15;30
1690;17.06.2017;51;5;12;36;10;42
1689;14.06.2017;32;50;14;19;20;44
1688;10.06.2017;32;52;46;34;21;33
1687;07.06.2017;23;28;36;21;11;1
1686;03.06.2017;31;42;5;23;15;19
1685;31.05.2017;10;2;35;8;16;45
1684;27.05.2017;20;11;44;3;40;31
1683;24.05.2017;35;39;25;51;50;48
1682;20.05.2017;5;14;9;41;16;19
1681;17.05.2017;23;24;10;14;45;26
1680;13.05.2017;15;10;34;7;17;45
1679;10.05.2017;18;41;2;3;16;26
1678;06.05.2017;36;35;39;32;7;31
1677;03.05.2017;45;14;31;20;19;44
1676;29.04.2017;36;45;27;34;25;19
1675;26.04.2017;25;36;3;14;4;48
1674;22.04.2017;41;39;15;23;9;27
1673;19.04.2017;45;24;49;29;40;2
1672;15.04.2017;16;8;24;49;10;48
1671;12.04.2017;28;26;6;13;9;23
1670;08.04.2017;50;33;23;28;51;17
1669;05.04.2017;51;35;38;24;21;8
1668;01.04.2017;24;45;42;16;46;8
1667;29.03.2017;28;47;33;35;15;37
1666;25.03.2017;20;45;50;38;21;36
1665;22.03.2017;46;2;5;13;1;9
1664;18.03.2017;23;36;24;44;47;20
1663;15.03.2017;27;21;32;23;52;3
1662;11.03.2017;39;18;2;10;15;31
1661;08.03.2017;40;26;31;34;11;6
1660;04.03.2017;50;27;48;33;21;2
1659;01.03.2017;48;44;9;2;5;17
1658;25.02.2017;39;14;49;20;35;25
1657;22.02.2017;44;7;50;33;39;30
1656;18.02.2017;26;37;39;14;47;50
1655;15.02.2017;5;47;35;26;52;42
1654;11.02.2017;24;31;44;42;19;7
1653;08.02.2017;47;31;15;10;19;12
1652;04.02.2017;42;7;35;32;20;3
1651;01.02.2017;43;47;44;29;23;14
1650;28.01.2017;26;29;36;18;12;30
1649;25.01.2017;26;30;24;4;41;32
1648;21.01.2017;27;10;41;47;33;16
1647;18.01.2017;44;29;17;45;13;31
1646;14.01.2017;36;24;33;47;48;21
1645;11.01.2017;21;52;3;16;33;41
1644;07.01.2017;7;19;1;30;42;11
1643;04.01.2017;4;5;39;37;47;7
1642;31.12.2016;40;44;39;51;18;33
1641;28.12.2016;35;51;6;40;34;48
1640;24.12.2016;46;24;44;5;11;23
1639;21.12.2016;18;37;46;33;19;2
1638;17.12.2016;2;30;15;26;43;34
1637;14.12.2016;12;9;13;35;5;52
1636;10.12.2016;27;16;8;39;50;13
1635;07.12.2016;25;23;11;26;28;29
1634;03.12.2016;48;46;9;14;30;11
1633;30.11.2016;24;36;28;13;17;1
1632;26.11.2016;31;35;44;20;37;19
1631;23.11.2016;40;39;12;20;41;48
1630;19.11.2016;15;52;28;18;29;46
1629;16.11.2016;17;9;36;11;51;24
1628;12.11.2016;21;46;31;14;15;25
1627;09.11.2016;35;11;5;22;3;20
1626;05.11.2016;52;8;27;1;3;26
1625;02.11.2016;40;16;36;24;32;28
1624;29.10.2016;44;48;45;7;46;47
1623;26.10.2016;29;47;11;46;42;14
1622;22.10.2016;41;10;33;17;6;39
1621;19.10.2016;35;10;42;20;16;44
1620;15.10.2016;8;5;16;18;44;39
1619;12.10.2016;15;29;40;23;43;9
1618;08.10.2016;36;26;22;1;4;12
1617;05.10.2016;27;34;17;23;48;19
1616;01.10.2016;6;15;33;38;17;7
1615;28.09.2016;18;37;26;9;3;39
1614;24.09.2016;18;40;24;37;38;20
1613;21.09.2016;17;40;38;20;25;8
1612;17.09.2016;38;32;48;31;51;3
1611;14.09.2016;41;25;21;12;22;18
1610;10.09.2016;26;51;18;30;8;23
1609;07.09.2016;14;39;1;28;21;34
1608;03.09.2016;12;45;42;48;30;33
1607;31.08.2016;36;33;40;13;20;26
1606;27.08.2016;30;26;13;14;50;11
1605;24.08.2016;4;33;34;46;38;23
1604;20.08.2016;45;7;5;11;47;8
1603;17.08.2016;23;17;5;46;42;3
1602;13.08.2016;35;21;10;45;34;43
1601;10.08.2016;25;22;2;40;50;37
1600;06.08.2016;25;47;26;3;34;51
1599;03.08.2016;3;20;24;45;4;48
1598;30.07.2016;2;9;31;30;47;50
1597;27.07.2016;21;24;50;13;22;42
1596;23.07.2016;39;14;16;5;23;46
1595;20.07.2016;34;36;5;30;14;6
1594;16.07.2016;21;13;40;25;20;38
1593;13.07.2016;30;23;3;52;27;41
1592;09.07.2016;18;23;19;50;32;17
1591;06.07.2016;6;16;1;32;21;50
1590;02.07.2016;27;36;37;52;29;46
1589;29.06.2016;4;25;5;48;18;34
1588;25.06.2016;32;29;3;30;18;16
1587;22.06.2016;34;28;49;17;19;14
1586;18.06.2016;52;48;41;19;43;50
1585;15.06.2016;38;12;40;30;13;26
1584;11.06.2016;38;6;37;5;49;33
1583;08.06.2016;2;3;21;14;8;6
1582;04.06.2016;34;1;4;9;23;16
1581;01.06.2016;1;20;27;18;44;25
1580;28.05.2016;41;49;14;21;19;46
1579;25.05.2016;12;5;18;16;50;6
1578;21.05.2016;6;34;28;52;29;46
1577;18.05.2016;27;6;3;34;32;9
1576;14.05.2016;15;19;4;11;24;35
1575;11.05.2016;34;33;15;45;26;38
1574;07.05.2016;15;49;32;12;3;23
1573;04.05.2016;4;44;7;8;24;41
1572;30.04.2016;40;52;29;39;3;20
1571;27.04.2016;15;3;23;19;26;36
1570;23.04.2016;41;43;46;15;3;23
1569;20.04.2016;8;17;3;33;4;41
1568;16.04.2016;39;19;8;13;29;47
1567;13.04.2016;33;8;19;30;35;44
1566;09.04.2016;51;20;7;47;39;41
1565;06.04.2016;13;48;47;2;20;31
1564;02.04.2016;13;40;24;7;18;43
1563;30.03.2016;20;52;5;13;24;43
1562;26.03.2016;32;31;49;27;44;50
1561;23.03.2016;34;3;51;20;14;44
1560;19.03.2016;42;28;31;13;11;30
1559;16.03.2016;17;22;45;36;30;7
1558;12.03.2016;11;10;21;49;18;38
1557;09.03.2016;21;43;20;23;49;19
1556;05.03.2016;21;26;6;14;22;35
